class,legacy_name,n,random,lag_1,lag_2,lag_5,lag_10,lag_20,lag_50,lag_100,lag_200,lag_500,lag_1000
Ciliata,Ciliata_strawberry,150,0.8429437279701233,0.8384714126586914,0.8389607667922974,0.8434045314788818,0.840232253074646,0.8440845608711243,0.8385410904884338,0.8442628979682922,,,
Cryptomonadales,Cryptomonadales,713,0.8931335806846619,0.8950824737548828,0.8944860696792603,0.89387047290802,0.8954439163208008,0.8931634426116943,0.8915559649467468,0.8941485285758972,0.8937793970108032,0.8905283808708191,
Cryptophyceae-Teleaulax,Cryptophyceae_drop,5140,0.8842151761054993,0.8834317326545715,0.8834851384162903,0.8843051791191101,0.8839059472084045,0.8834909200668335,0.8843387365341187,0.8837522268295288,0.8838923573493958,0.8841719031333923,0.8831642270088196
Cryptophyceae-Teleaulax,Cryptophyceae_small,568,0.8954311013221741,0.8940656185150146,0.8958104252815247,0.8960471153259277,0.8961703181266785,0.8963208198547363,0.8966853022575378,0.8960323333740234,0.8955894112586975,0.8987284898757935,
Cryptophyceae-Teleaulax,Teleaulax_sp,1122,0.8705105781555176,0.8735719919204712,0.8718222379684448,0.8703293204307556,0.8713288903236389,0.8703495860099792,0.8718076944351196,0.8704074621200562,0.8722301125526428,0.8711235523223877,0.8674367070198059
Cyclotella_choctawhatcheeana,Cyclotella_choctawhatcheeana,102,0.8422335386276245,0.8415382504463196,0.8457488417625427,0.8384274244308472,0.8418629765510559,0.8453219532966614,0.8522719144821167,0.8869304656982422,,,
Cymbomonas_tetramitiformis,Cymbomonas_tetramitiformis,199,0.8762728571891785,0.8766103386878967,0.8760451078414917,0.8771950602531433,0.8724399209022522,0.8762689232826233,0.8745596408843994,0.8780204057693481,,,
Dinophyceae,Dinophyceae_under_20,1426,0.8899517059326172,0.8898940086364746,0.8891394734382629,0.88946133852005,0.8895555138587952,0.8894355297088623,0.8898252248764038,0.8896453976631165,0.8893337845802307,0.8881522417068481,0.8914662599563599
Dinophysis_acuminata,Dinophysis_acuminata,217,0.8493765592575073,0.8465992212295532,0.8525145053863525,0.849130392074585,0.8498392105102539,0.8502893447875977,0.8473644256591797,0.8484002351760864,0.8428232073783875,,
Dolichospermum-Anabaenopsis,Dolichospermum_Anabaenopsis,12280,0.7749971151351929,0.7761535048484802,0.7749872803688049,0.7761568427085876,0.7762225866317749,0.7762812972068787,0.7752431631088257,0.7772085666656494,0.7773848176002502,0.7750644683837891,0.7764055132865906
Dolichospermum-Anabaenopsis-coiled,Dolichospermum_Anabaenopsis_round_curly,2504,0.8203146457672119,0.8193926215171814,0.8219113349914551,0.8218158483505249,0.8225076198577881,0.8202653527259827,0.8195016384124756,0.8212389945983887,0.8215444087982178,0.8193907737731934,0.821263313293457
Euglenophyceae,Euglenophyceae_big,93,0.8366596102714539,0.8368653655052185,0.832889199256897,0.8346767425537109,0.8308873176574707,0.8360190987586975,0.8386602401733398,,,,
Eutreptiella_sp,Eutreptiella_sp,2247,0.8957677483558655,0.8958845734596252,0.8958179354667664,0.8958251476287842,0.8954786658287048,0.8957449197769165,0.8965217471122742,0.8963780403137207,0.8955010175704956,0.8951718807220459,0.8957239389419556
Gymnodiniales,Gymnodiniales,69,0.879693865776062,0.880842924118042,0.8784078359603882,0.8844442367553711,0.8846827745437622,0.8762983083724976,0.8796743154525757,,,,
Gymnodinium_like,Gymnodinium_like,158,0.8479737043380737,0.8534988164901733,0.848122239112854,0.8477455973625183,0.8533979058265686,0.850607693195343,0.8570199608802795,0.8455403447151184,,,
Heterocapsa_rotundata,Heterocapsa_rotundata,614,0.8737235069274902,0.8748522400856018,0.8745517134666443,0.8710095882415771,0.8749039173126221,0.873492419719696,0.8736897706985474,0.8721855282783508,0.8714520931243896,0.8746703863143921,
Heterocapsa_triquetra,Heterocapsa_triquetra,3276,0.8520853519439697,0.8510289192199707,0.852558434009552,0.8510286808013916,0.851740837097168,0.8513180613517761,0.852210521697998,0.852815568447113,0.8503614664077759,0.8519874811172485,0.8513223528862
Heterocyte,Heterocyte,263,0.8782892823219299,0.8802460432052612,0.8794220089912415,0.8804928064346313,0.8762437701225281,0.8812962770462036,0.8787831664085388,0.8772711157798767,0.8844294548034668,,
Katablepharis_remigera,Katablepharis_remigera,54,0.8734047412872314,0.8720488548278809,0.8758461475372314,0.8738897442817688,0.8746213912963867,0.8833163380622864,0.8694325089454651,,,,
Licmophora_sp,Licmophora_sp,74,0.8035151958465576,0.8057747483253479,0.8088858723640442,0.8033322691917419,0.7998727560043335,0.8068827390670776,0.8107184767723083,,,,
Melosira_arctica,Melosira_arctica,43,0.8186551332473755,0.8130900859832764,0.8210194110870361,0.836452305316925,0.8217534422874451,0.8147008419036865,,,,,
Merismopedia_sp,Merismopedia_sp,98,0.8176674246788025,0.8172309398651123,0.8171296715736389,0.8134630918502808,0.8087170124053955,0.8165977001190186,0.8210477828979492,,,,
Mesodinium_rubrum,Mesodinium_rubrum,715,0.8226554989814758,0.823894739151001,0.8237290978431702,0.8214083909988403,0.8237410187721252,0.8228955864906311,0.8242806196212769,0.8233110904693604,0.8274061679840088,0.8303005695343018,
Mesodinium_rubrum,Mesodinium_rubrum_shrunken,417,0.8697013854980469,0.8719012141227722,0.8675509691238403,0.8704016208648682,0.8707659244537354,0.8702949285507202,0.8701443076133728,0.8676435351371765,0.8702220320701599,,
Monoraphidium_contortum,Monoraphidium_contortum,327,0.9013835191726685,0.899845540523529,0.9010383486747742,0.9002105593681335,0.9019318222999573,0.8986908793449402,0.8992724418640137,0.8976621627807617,0.9018449187278748,,
Nitzschia_paleacea,Nitzschia_paleacea,65,0.7904298305511475,0.7979531288146973,0.7820212244987488,0.7901002764701843,0.7891117930412292,0.7905922532081604,0.7867537140846252,,,,
Nodularia_spumigena,Nodularia_spumigena,169,0.7265678644180298,0.7313528656959534,0.7309895753860474,0.7284249067306519,0.7275421619415283,0.7323355674743652,0.7294830679893494,0.7186003923416138,,,
Oocystis_sp,Oocystis_sp,842,0.7946456074714661,0.7937419414520264,0.7987279891967773,0.7900182008743286,0.7956393361091614,0.7948293089866638,0.7932154536247253,0.7947480082511902,0.7945272326469421,0.7975760102272034,
Oscillatoriales,Oscillatoriales,4440,0.847447395324707,0.8472379446029663,0.8453165888786316,0.8465800285339355,0.845954954624176,0.8469488620758057,0.8461158275604248,0.8468820452690125,0.8463504314422607,0.8472052812576294,0.8463232517242432
Pauliella_taeniata,Pauliella_taeniata,119,0.8398001194000244,0.835139274597168,0.8473373055458069,0.8405977487564087,0.8387501835823059,0.8442137241363525,0.8336466550827026,0.8452836275100708,,,
Pennales_sp_thick,Pennales_sp._boxy,180,0.8263034224510193,0.8303113579750061,0.8269824981689453,0.8278998732566833,0.8277426958084106,0.8303041458129883,0.8280813097953796,0.8243694305419922,,,
Pennales_sp_thick,Pennales_sp._curvy,30,0.8517050743103027,0.8365834951400757,0.8551043272018433,0.8540948629379272,0.8545180559158325,0.8539360761642456,,,,,
Pennales_sp_thin,Pennales_sp._basic,781,0.86538165807724,0.866887629032135,0.8670327067375183,0.8656173944473267,0.8653748035430908,0.8661653995513916,0.8637188673019409,0.867396891117096,0.8704716563224792,0.8633173704147339,
Peridiniella_catenata_chain,Peridiniella_catenata_chain,193,0.8143361210823059,0.8137442469596863,0.8137587308883667,0.8141252994537354,0.8149365782737732,0.8179971575737,0.8180212378501892,0.8120850324630737,,,
Peridiniella_catenata_single,Peridiniella_catenata_single,899,0.8207576870918274,0.8188464045524597,0.8227183818817139,0.8202015161514282,0.8203259706497192,0.8192116618156433,0.8199612498283386,0.8206697106361389,0.8220150470733643,0.8248807787895203,
Prorocentrum_cordatum,Prorocentrum_cordatum,276,0.869243323802948,0.8701525926589966,0.8714631795883179,0.8671881556510925,0.8694875836372375,0.8704251050949097,0.8677764534950256,0.871015727519989,0.869276225566864,,
Pseudopedinella_sp,Pseudopedinella_sp,379,0.8823418617248535,0.8817929625511169,0.8815173506736755,0.8832873702049255,0.8807622790336609,0.8795662522315979,0.8822758793830872,0.8834657669067383,0.8831787109375,,
Pyramimonas_sp,Pyramimonas_sp,1224,0.8975803852081299,0.897563636302948,0.896988034248352,0.8969614505767822,0.8966566920280457,0.8989823460578918,0.8978970050811768,0.8978927731513977,0.8975530862808228,0.8966711163520813,0.8968132138252258
Skeletonema_marinoi,Skeletonema_marinoi,4128,0.8558857440948486,0.856640636920929,0.8540036678314209,0.8555667996406555,0.8564683198928833,0.8554548621177673,0.8542101979255676,0.8552675843238831,0.8566106557846069,0.8544946312904358,0.8552569150924683
Snowella-Woronichinia,Snowella_Woronichinia_sp._dense,2950,0.8643546104431152,0.8635638952255249,0.8649359345436096,0.8636912703514099,0.8643465042114258,0.8646328449249268,0.8648659586906433,0.8642992973327637,0.8647409677505493,0.8646664023399353,0.8639704585075378
Thalassiosira_levanderi,Thalassiosira_levanderi,2537,0.8378440141677856,0.836968183517456,0.8375504612922668,0.8370639085769653,0.8373226523399353,0.836999237537384,0.8377663493156433,0.8379313945770264,0.8378002047538757,0.8375394940376282,0.8369012475013733
Uroglenopsis_sp,Uroglenopsis_sp,516,0.839874267578125,0.8428462147712708,0.8416858911514282,0.8415508270263672,0.840803325176239,0.838722825050354,0.8427589535713196,0.8394910097122192,0.8396357297897339,0.8116559982299805,
